"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error","Denver County, Colorado!!Total!!Estimate","Denver County, Colorado!!Total!!Margin of Error","Denver County, Colorado!!Male!!Estimate","Denver County, Colorado!!Male!!Margin of Error","Denver County, Colorado!!Female!!Estimate","Denver County, Colorado!!Female!!Margin of Error","Mecklenburg County, North Carolina!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Margin of Error","Mecklenburg County, North Carolina!!Male!!Estimate","Mecklenburg County, North Carolina!!Male!!Margin of Error","Mecklenburg County, North Carolina!!Female!!Estimate","Mecklenburg County, North Carolina!!Female!!Margin of Error","Travis County, Texas!!Total!!Estimate","Travis County, Texas!!Total!!Margin of Error","Travis County, Texas!!Male!!Estimate","Travis County, Texas!!Male!!Margin of Error","Travis County, Texas!!Female!!Estimate","Travis County, Texas!!Female!!Margin of Error"
"        Walked","11.7%","±0.4","11.5%","±0.6","12.0%","±0.6","4.7%","±0.3","4.8%","±0.4","4.5%","±0.4","1.9%","±0.2","2.1%","±0.2","1.8%","±0.2","2.2%","±0.2","2.4%","±0.2","2.1%","±0.3"
"        Bicycle","3.7%","±0.2","4.7%","±0.4","2.5%","±0.3","2.1%","±0.2","2.8%","±0.3","1.2%","±0.2","0.1%","±0.1","0.2%","±0.1","0.0%","±0.1","0.9%","±0.1","1.3%","±0.2","0.6%","±0.1"
"        Taxicab, motorcycle, or other means","4.0%","±0.3","4.3%","±0.4","3.6%","±0.3","1.4%","±0.2","1.4%","±0.2","1.4%","±0.3","1.3%","±0.2","1.6%","±0.3","1.0%","±0.2","1.2%","±0.1","1.5%","±0.2","0.9%","±0.2"
"        Worked from home","11.8%","±0.5","11.5%","±0.6","12.1%","±0.5","12.4%","±0.6","11.9%","±0.6","12.9%","±0.8","11.9%","±0.4","11.9%","±0.6","11.8%","±0.6","14.0%","±0.5","13.7%","±0.6","14.3%","±0.7"
"    PLACE OF WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"        Worked in state of residence","99.5%","±0.1","99.5%","±0.1","99.7%","±0.1","99.2%","±0.2","99.1%","±0.2","99.2%","±0.3","95.2%","±0.3","94.5%","±0.3","96.0%","±0.3","99.5%","±0.1","99.4%","±0.1","99.6%","±0.2"
"            Worked in county of residence","78.8%","±0.5","76.9%","±0.6","80.9%","±0.7","64.8%","±0.6","63.8%","±0.9","65.9%","±0.8","87.4%","±0.4","85.6%","±0.6","89.3%","±0.5","89.7%","±0.4","89.1%","±0.5","90.4%","±0.5"
"            Worked outside county of residence","20.8%","±0.5","22.5%","±0.6","18.7%","±0.7","34.4%","±0.7","35.3%","±0.9","33.3%","±0.9","7.8%","±0.3","8.9%","±0.5","6.7%","±0.4","9.8%","±0.4","10.3%","±0.5","9.1%","±0.5"
"        Worked outside state of residence","0.5%","±0.1","0.5%","±0.1","0.3%","±0.1","0.8%","±0.2","0.9%","±0.2","0.8%","±0.3","4.8%","±0.3","5.5%","±0.3","4.0%","±0.3","0.5%","±0.1","0.6%","±0.1","0.4%","±0.2"
"        Living in a place","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","95.3%","±0.2","95.1%","±0.2","95.6%","±0.3","89.4%","±0.3","89.6%","±0.4","89.2%","±0.5"
"            Worked in place of residence","78.8%","±0.5","76.9%","±0.6","80.9%","±0.7","64.8%","±0.6","63.8%","±0.9","65.9%","±0.8","69.8%","±0.5","68.2%","±0.7","71.6%","±0.7","69.3%","±0.5","68.8%","±0.7","69.8%","±0.8"
"            Worked outside place of residence","21.2%","±0.5","23.1%","±0.6","19.1%","±0.7","35.2%","±0.6","36.2%","±0.9","34.1%","±0.8","25.5%","±0.5","27.0%","±0.7","23.9%","±0.7","20.1%","±0.5","20.8%","±0.7","19.4%","±0.7"
"        Not living in a place","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","4.7%","±0.2","4.9%","±0.2","4.4%","±0.3","10.6%","±0.3","10.4%","±0.4","10.8%","±0.5"
"        Living in 12 selected states","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked in minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"            Worked outside minor civil division of residence","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.0%","±0.1"
"        Not living in 12 selected states","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1","100.0%","±0.1"
"Workers 16 years and over who did not work from home","449,727","±3,396","242,516","±2,472","207,211","±2,088","351,350","±3,517","188,835","±2,264","162,515","±2,131","503,525","±4,273","261,076","±2,922","242,449","±2,729","595,962","±4,235","328,109","±2,781","267,853","±3,192"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","1.9%","±0.2","2.3%","±0.3","1.4%","±0.2","3.0%","±0.3","3.6%","±0.4","2.2%","±0.3","3.1%","±0.3","3.6%","±0.3","2.6%","±0.4","2.6%","±0.2","3.0%","±0.3","2.0%","±0.3"
"        5:00 a.m. to 5:29 a.m.","1.7%","±0.2","2.1%","±0.2","1.2%","±0.2","3.0%","±0.3","4.0%","±0.5","1.8%","±0.4","2.6%","±0.2","3.0%","±0.3","2.1%","±0.3","2.4%","±0.2","2.9%","±0.3","1.7%","±0.3"
"        5:30 a.m. to 5:59 a.m.","2.1%","±0.2","2.4%","±0.2","1.8%","±0.2","4.3%","±0.3","5.4%","±0.5","3.1%","±0.4","3.3%","±0.2","3.9%","±0.3","2.6%","±0.3","3.0%","±0.2","3.3%","±0.3","2.7%","±0.3"
"        6:00 a.m. to 6:29 a.m.","5.1%","±0.3","5.9%","±0.5","4.2%","±0.4","8.5%","±0.4","9.9%","±0.6","6.8%","±0.5","7.7%","±0.3","8.6%","±0.5","6.8%","±0.4","7.2%","±0.4","8.2%","±0.6","6.0%","±0.6"
"        6:30 a.m. to 6:59 a.m.","6.3%","±0.3","6.3%","±0.4","6.3%","±0.4","9.0%","±0.4","8.9%","±0.6","9.1%","±0.6","9.3%","±0.4","8.9%","±0.5","9.7%","±0.6","8.5%","±0.4","8.7%","±0.5","8.3%","±0.5"
"        7:00 a.m. to 7:29 a.m.","12.2%","±0.4","12.0%","±0.6","12.4%","±0.6","15.2%","±0.6","14.7%","±0.8","15.8%","±0.9","15.6%","±0.5","15.7%","±0.6","15.4%","±0.7","17.3%","±0.5","17.3%","±0.6","17.4%","±0.6"
"        7:30 a.m. to 7:59 a.m.","12.7%","±0.4","11.3%","±0.5","14.4%","±0.6","12.8%","±0.5","12.2%","±0.6","13.6%","±0.7","13.6%","±0.5","12.5%","±0.5","14.7%","±0.7","12.2%","±0.4","11.1%","±0.6","13.6%","±0.7"
"        8:00 a.m. to 8:29 a.m.","18.1%","±0.5","16.5%","±0.6","20.0%","±0.8","12.9%","±0.5","12.3%","±0.7","13.6%","±0.6","13.3%","±0.5","13.1%","±0.6","13.5%","±0.6","12.6%","±0.4","12.3%","±0.6","13.0%","±0.6"
"        8:30 a.m. to 8:59 a.m.","11.3%","±0.4","10.7%","±0.5","12.0%","±0.7","7.8%","±0.4","7.1%","±0.5","8.7%","±0.6","6.5%","±0.3","6.1%","±0.4","6.9%","±0.6","8.5%","±0.4","8.1%","±0.4","8.9%","±0.7"
"        9:00 a.m. to 11:59 p.m.","28.6%","±0.6","30.4%","±0.7","26.4%","±0.7","23.5%","±0.8","21.9%","±0.9","25.3%","±1.1","25.2%","±0.5","24.5%","±0.8","25.8%","±0.8","25.7%","±0.6","25.2%","±0.7","26.4%","±0.8"
"    TRAVEL TIME TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 10 minutes","4.2%","±0.3","4.2%","±0.4","4.2%","±0.3","7.7%","±0.5","7.7%","±0.7","7.8%","±0.6","8.1%","±0.3","7.7%","±0.4","8.6%","±0.5","8.8%","±0.3","8.7%","±0.5","9.0%","±0.5"
"        10 to 14 minutes","7.2%","±0.3","7.2%","±0.4","7.2%","±0.5","12.0%","±0.5","11.9%","±0.8","12.1%","±0.6","12.0%","±0.4","11.8%","±0.5","12.2%","±0.6","11.8%","±0.4","11.9%","±0.5","11.6%","±0.6"
"        15 to 19 minutes","11.6%","±0.4","12.2%","±0.6","10.9%","±0.5","16.9%","±0.6","16.1%","±0.8","17.7%","±0.8","16.2%","±0.5","15.6%","±0.7","16.9%","±0.7","17.2%","±0.5","17.0%","±0.6","17.4%","±0.8"
"        20 to 24 minutes","13.8%","±0.4","13.9%","±0.6","13.7%","±0.6","16.9%","±0.6","16.5%","±0.8","17.3%","±0.9","17.5%","±0.5","17.8%","±0.8","17.1%","±0.7","16.2%","±0.4","16.4%","±0.6","16.0%","±0.6"
"        25 to 29 minutes","7.1%","±0.3","7.2%","±0.5","6.9%","±0.4","7.8%","±0.4","7.6%","±0.6","7.9%","±0.6","8.7%","±0.3","8.8%","±0.5","8.6%","±0.5","7.9%","±0.4","7.8%","±0.4","8.0%","±0.7"
"        30 to 34 minutes","19.7%","±0.6","19.2%","±0.8","20.2%","±0.7","18.3%","±0.6","18.6%","±0.8","17.9%","±0.9","16.6%","±0.5","16.8%","±0.6","16.5%","±0.8","16.4%","±0.5","16.3%","±0.6","16.4%","±0.9"
"        35 to 44 minutes","10.1%","±0.4","9.9%","±0.4","10.5%","±0.5","7.6%","±0.4","7.5%","±0.5","7.7%","±0.5","7.6%","±0.3","7.8%","±0.5","7.4%","±0.4","7.1%","±0.3","7.1%","±0.5","7.1%","±0.4"
"        45 to 59 minutes","12.0%","±0.4","11.6%","±0.5","12.4%","±0.5","7.6%","±0.4","7.9%","±0.6","7.2%","±0.6","7.5%","±0.3","7.5%","±0.4","7.5%","±0.4","8.7%","±0.4","8.4%","±0.4","9.0%","±0.6"
"        60 or more minutes","14.4%","±0.4","14.7%","±0.6","14.1%","±0.6","5.3%","±0.3","6.1%","±0.5","4.4%","±0.4","5.8%","±0.3","6.2%","±0.4","5.3%","±0.4","6.0%","±0.4","6.4%","±0.4","5.4%","±0.5"
"        Mean travel time to work (minutes)","33.3","±0.3","33.4","±0.4","33.2","±0.4","25.7","±0.3","26.2","±0.4","25.0","±0.4","26.2","±0.3","26.8","±0.4","25.5","±0.4","25.9","±0.3","26.2","±0.3","25.6","±0.4"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over in households","504,856","±3,427","271,544","±2,328","233,312","±2,188","397,495","±3,063","212,510","±2,130","184,985","±2,062","567,350","±4,195","294,497","±2,922","272,853","±2,656","687,555","±4,157","378,190","±2,922","309,365","±2,999"
"        No vehicle available","21.7%","±0.6","21.8%","±0.8","21.6%","±0.8","4.3%","±0.4","4.2%","±0.4","4.5%","±0.5","2.6%","±0.2","2.7%","±0.3","2.4%","±0.2","2.6%","±0.2","2.8%","±0.3","2.3%","±0.2"
"        1 vehicle available","38.3%","±0.7","37.2%","±0.8","39.7%","±0.8","27.6%","±0.8","26.1%","±1.0","29.2%","±1.0","25.8%","±0.8","22.3%","±0.8","29.6%","±1.0","24.5%","±0.6","22.7%","±0.8","26.8%","±0.8"
"        2 vehicles available","24.6%","±0.8","25.1%","±0.9","24.1%","±0.9","42.8%","±0.8","43.1%","±1.0","42.4%","±1.1","44.2%","±0.8","45.8%","±0.9","42.5%","±1.0","46.0%","±0.9","46.4%","±1.0","45.6%","±1.0"
"        3 or more vehicles available","15.4%","±0.6","15.9%","±0.8","14.7%","±0.7","25.3%","±0.8","26.5%","±1.0","23.9%","±1.0","27.4%","±0.6","29.2%","±0.7","25.5%","±0.9","26.9%","±0.8","28.1%","±0.9","25.3%","±0.9"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Means of transportation to work","14.5%","(X)","(X)","(X)","(X)","(X)","13.6%","(X)","(X)","(X)","(X)","(X)","9.8%","(X)","(X)","(X)","(X)","(X)","12.5%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","18.3%","(X)","(X)","(X)","(X)","(X)","15.3%","(X)","(X)","(X)","(X)","(X)","12.0%","(X)","(X)","(X)","(X)","(X)","14.6%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","17.1%","(X)","(X)","(X)","(X)","(X)","16.7%","(X)","(X)","(X)","(X)","(X)","13.0%","(X)","(X)","(X)","(X)","(X)","15.0%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","27.2%","(X)","(X)","(X)","(X)","(X)","23.4%","(X)","(X)","(X)","(X)","(X)","21.9%","(X)","(X)","(X)","(X)","(X)","24.9%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","19.9%","(X)","(X)","(X)","(X)","(X)","17.9%","(X)","(X)","(X)","(X)","(X)","17.1%","(X)","(X)","(X)","(X)","(X)","20.6%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)"
